designation,ra,dec,j_m
13193311-6345199,199.887993,-63.755547,6.783
19535900+4708060,298.495866,47.135021,6.408
19554956+4644396,298.956537,46.74435,6.262
19551204+4639559,298.800191,46.665543,6.989
20112686+4655065,302.861946,46.918488,6.253
20063262+4817368,301.635946,48.29356,6.72
20023788+4643069,300.657847,46.718586,6.082
20044476+4656489,301.18652,46.946938,6.78
20043815+4649453,301.158984,46.829269,5.601
20040255+4705592,301.010645,47.099789,6.648
20052537+4729484,301.355717,47.49678,6.48
20071999+4704026,301.833328,47.067394,6.767
19595769+4946501,299.990399,49.78059,6.987
19594421+4954060,299.934239,49.90168,5.589
19591776+4950245,299.82404,49.840164,6.755
19585489+4949496,299.728729,49.830463,6.397
19553357+4810270,298.889885,48.174168,6.421
19554786+4813408,298.949455,48.22802,6.985
19584864+4835006,299.702698,48.583515,5.854
19573365+4840467,299.390216,48.679657,6.783
20013370+4852598,300.390455,48.883278,6.263
19591195+4843335,299.799799,48.725994,5.728
20004684+4901123,300.195188,49.020111,6.271
20011068+4902147,300.294501,49.037418,6.855
19580682+4857574,299.528425,48.96595,6.675
19595835+4848189,299.993151,48.805256,6.469
20042878+4813467,301.119951,48.229656,5.972
20041350+4821450,301.056289,48.362514,6.951
20012694+4819153,300.362255,48.32093,6.426
20034247+4810559,300.926967,48.182209,6.264
20025695+4814323,300.73732,48.242306,6.387
20024840+4810320,300.701701,48.175575,6.536
20030892+4800286,300.787168,48.00795,6.528
20031079+4802577,300.794972,48.049377,6.882
19582097+4811008,299.587413,48.183578,6.857
19583237+4801365,299.634912,48.02681,6.467
20005293+4710029,300.220549,47.167473,6.441
19585165+4721434,299.715241,47.36208,6.232
19585188+4721481,299.716202,47.363377,6.458
19593904+4731325,299.912676,47.5257,6.87
19592347+4725001,299.847823,47.416695,6.358
20003002+4810186,300.125102,48.171848,6.558
20001250+4755576,300.052088,47.932693,6.329
20334115+4728179,308.42147,47.471653,5.955
20323973+4750142,308.165566,47.83728,6.775
20285145+4840518,307.214398,48.68108,6.307
20284954+4851422,307.206457,48.86174,6.539
20280272+4812074,307.011335,48.202057,6.52
20270329+4826523,306.763712,48.447887,5.995
20285160+4814133,307.21504,48.237049,6.537
20293510+4825172,307.39629,48.421471,6.716
20240378+4712383,306.01577,47.210648,6.1
20262023+4715236,306.584304,47.256577,6.7
20270438+4755231,306.768251,47.923092,5.818
20280944+4806180,307.039357,48.105015,6.197
20291919+4733298,307.329967,47.558304,6.585
20281887+4738053,307.078632,47.634811,6.704
20301292+4755585,307.553843,47.932938,6.508
20282127+4757342,307.088638,47.959511,6.205
20221261+5032279,305.552576,50.5411,6.618
20233273+5023562,305.886412,50.398952,6.095
20240950+4955475,306.03959,49.929878,6.663
20235529+4954338,305.9804,49.909409,6.579
20231395+5010431,305.808158,50.178661,6.99
20214572+4904473,305.440534,49.079807,5.904
20190240+4908590,304.760024,49.149727,5.74
20210394+4941083,305.266427,49.68565,5.755
20152536+4700164,303.855679,47.00457,6.504
20144252+4742349,303.677182,47.709709,5.837
20151710+4733042,303.821273,47.551186,6.861
20181980+4759138,304.582512,47.987186,6.838
20170766+4812312,304.281927,48.208679,6.975
20194166+4754199,304.923617,47.90554,6.324
20150262+4748310,303.760944,47.808636,6.274
20154483+4736473,303.936805,47.61314,6.148
20172027+4726023,304.334498,47.433994,6.204
20171024+4746252,304.29267,47.773678,6.54
20175701+4850187,304.487543,48.838535,6.899
20175744+4845210,304.489371,48.755836,6.038
20225923+4733323,305.746826,47.558983,6.789
20231465+4729174,305.81108,47.488178,6.698
20235848+4749086,305.993691,47.819065,6.457
20241734+4759419,306.072271,47.99498,6.892
20230848+4747175,305.78534,47.788219,6.471
20263050+4900348,306.627096,49.00967,6.996
20221942+4848490,305.580932,48.813618,6.872
20082649+5343530,302.110388,53.731392,6.658
20060697+5304173,301.529077,53.071484,6.49
20102854+5320383,302.618949,53.343987,6.639
20084059+5320112,302.169156,53.336456,6.248
20081587+5321268,302.066166,53.357464,6.306
20092831+5216347,302.367985,52.27631,6.966
20133271+5249372,303.386315,52.827,6.604
20092885+5227525,302.370235,52.464603,6.647
20072197+5252598,301.841561,52.883305,6.911
20092373+5248480,302.348905,52.813347,6.933
20005706+5014514,300.237788,50.247616,6.007
20003409+5039226,300.142074,50.656281,6.035
20084291+5035108,302.178805,50.586346,6.323
20053439+5034070,301.393305,50.568634,6.552
20061205+5034114,301.550221,50.569843,6.906
20032527+5144180,300.855325,51.73835,6.212
20044815+5134417,301.200636,51.578266,5.343
20050000+5032166,301.250004,50.537971,7.0
20215327+5050031,305.471986,50.834206,6.293
20200110+5115336,305.004617,51.259357,6.775
20184818+5054068,304.700759,50.901905,6.634
20193970+5059105,304.915447,50.986252,6.711
20162242+5206183,304.093443,52.10511,5.376
20182544+5138484,304.60602,51.646805,6.358
19174216-0629208,289.425686,-6.489125,6.672
19145237-0712581,288.718218,-7.216153,6.905
19151557-0709381,288.814908,-7.160589,6.151
19150070-0656594,288.752938,-6.949855,6.476
19150218-0651209,288.759089,-6.855818,6.48
19135088-0717569,288.462032,-7.299146,6.523
19140683-0610156,288.528481,-6.171011,6.616
19121689-0654059,288.070394,-6.901664,6.837
19124222-0638287,288.175946,-6.64132,6.203
19130578-0651344,288.274105,-6.859564,5.921
19211850-0637008,290.327101,-6.616898,6.839
19202358-0636427,290.098253,-6.611877,6.619
19202746-0631082,290.114423,-6.518945,5.9
19183285-0640118,289.636883,-6.669969,6.941
19183324-0641176,289.63853,-6.688248,5.583
19182738-0703532,289.614123,-7.064795,6.879
19192119-0701138,289.838303,-7.020508,6.568
19192730-0712079,289.863757,-7.202207,6.258
19202271-0642229,290.094649,-6.706386,5.829
19185020-0657427,289.709178,-6.961863,6.955
19192965-0650083,289.873552,-6.835645,6.859
19161666-0841242,289.069457,-8.690077,5.433
19140728-0849385,288.530363,-8.827388,6.834
19142634-0751510,288.609786,-7.864186,5.994
19160856-0804558,289.035667,-8.082177,6.828
19155790-0745266,288.991289,-7.757401,6.879
19145001-0823400,288.708405,-8.394462,6.695
19230022-0844173,290.750944,-8.73814,6.76
19183533-0851384,289.647228,-8.860693,6.231
19181441-0840554,289.560058,-8.682063,6.937
19204102-0813142,290.170955,-8.220616,5.697
19202528-0837317,290.105356,-8.625492,6.362
19222080-0812038,290.586707,-8.201079,6.689
19180187-0814467,289.507793,-8.24631,6.595
19162587-0815235,289.107793,-8.256553,6.752
19203380-0730018,290.140841,-7.5005,6.279
19171429-0730113,289.309583,-7.50316,6.667
19172908-0758440,289.371185,-7.978914,6.941
19180929-0752258,289.538736,-7.873852,6.686
18031391-2228014,270.807989,-22.467075,6.601
18023561-2221135,270.648415,-22.353758,6.445
18022787-2209246,270.616141,-22.156845,6.842
18021862-2219461,270.577607,-22.329479,6.749
18052278-2215187,271.344917,-22.255219,6.708
18043424-2229370,271.142667,-22.493626,6.675
18054704-2117542,271.446024,-21.298412,6.98
18050223-2129278,271.2593,-21.491079,6.898
18033325-2212076,270.888559,-22.202135,6.548
18032594-2213441,270.858096,-22.228924,6.26
18044377-2153378,271.182409,-21.893843,6.964
18040332-2209084,271.013859,-22.152355,6.954
18124838-2245350,273.201603,-22.759739,6.99
18123470-2226291,273.144607,-22.441444,6.495
18125016-2225291,273.209002,-22.424774,6.834
18124246-2224189,273.176941,-22.405252,6.465
18121934-2222187,273.080594,-22.371876,6.562
18124558-2202122,273.189922,-22.036732,6.246
18113500-2206246,272.895847,-22.106861,6.542
18114622-2159327,272.942608,-21.992439,6.242
18111870-2202380,272.827929,-22.043913,6.995
18092737-2248564,272.364066,-22.815689,6.577
18093941-2229343,272.414248,-22.492887,6.144
18091217-2211013,272.300725,-22.183716,6.924
18081512-2225290,272.063007,-22.424734,6.937
18101699-2207345,272.570819,-22.126272,6.559
18103940-2238299,272.6642,-22.641663,6.909
18102048-2231530,272.585339,-22.531395,6.25
18105731-2227517,272.738819,-22.464388,6.47
18104413-2214231,272.683908,-22.23975,5.368
18103118-2223414,272.629917,-22.394842,6.819
18120641-1956203,273.026745,-19.938995,5.593
18104373-2010457,272.682239,-20.179375,6.449
18104145-2020542,272.672716,-20.348396,6.811
18101189-2027448,272.549561,-20.462452,6.83
18072873-2101189,271.869725,-21.021919,6.845
18085478-2114038,272.228289,-21.234411,6.721
18082207-2110358,272.091987,-21.17662,6.72
18084267-2106360,272.177792,-21.110006,6.822
18085776-2037428,272.240672,-20.628571,6.662
18080201-2049011,272.008416,-20.816984,6.897
18080889-2049570,272.037049,-20.832512,6.647
18121298-2113510,273.054113,-21.230837,6.891
18120297-2041331,273.012395,-20.692528,6.946
18120455-2042146,273.018995,-20.704065,6.979
18104878-2107153,272.703286,-21.120918,6.329
18111019-2113186,272.792474,-21.221842,6.69
18093634-2109323,272.401453,-21.158987,6.791
18114268-2041455,272.927858,-20.695974,6.779
18113461-2043437,272.894224,-20.728813,6.871
18120032-2128346,273.001374,-21.476301,6.588
18093085-2134207,272.37857,-21.572441,6.747
18093439-2130343,272.393317,-21.509546,6.964
18102776-2150097,272.615684,-21.83604,6.577
18072020-2112058,271.834183,-21.201616,5.737
18081323-2124522,272.055154,-21.414501,6.571
18082280-2123021,272.095005,-21.383932,6.175
18073139-2134278,271.880812,-21.57439,6.98
18065119-2130192,271.713303,-21.505348,6.474
18071136-2126382,271.797353,-21.443953,6.002
18074129-2124457,271.922048,-21.412722,6.987
18082832-2214034,272.118001,-22.234283,6.951
18082166-2208449,272.090254,-22.145819,6.378
18073987-2204376,271.916137,-22.077131,5.714
18092099-2126174,272.337492,-21.438168,6.437
18092280-2122485,272.345041,-21.38014,6.535
18081853-2131538,272.077234,-21.531612,6.721
18091723-2136054,272.321804,-21.601515,6.912
18092863-2139456,272.36932,-21.662683,6.61
18090259-2144221,272.260796,-21.739491,6.975
00071102+5724277,1.795957,57.407707,6.987
00074954+5710552,1.956434,57.182014,6.076
00072728+5711563,1.863673,57.198982,6.388
00045882+5728074,1.245109,57.468735,6.464
00030025+5728032,0.75105,57.467571,6.583
00015453+5720056,0.477227,57.334892,6.883
00051124+5716403,1.296866,57.277866,6.786
00014151+5659020,0.422992,56.983898,6.833
00040844+5655154,1.035175,56.920963,5.851
00113715+5812426,2.904806,58.211838,6.49
00033511+5854186,0.896307,58.90519,6.971
00100348+5846531,2.514501,58.781433,6.369
00061417+5819505,1.55905,58.330711,5.849
00051131+5825302,1.297131,58.425068,6.776
00010622+5825564,0.275953,58.43235,6.49
00100361+5807594,2.515073,58.133179,6.275
00094838+5823153,2.451585,58.387611,6.065
00012255+5743061,0.343991,57.718369,6.957
00075130+5755210,1.963759,57.922523,6.687
00465096+6017454,11.712363,60.295967,6.231
00470950+6016021,11.789612,60.267269,5.282
00435036+6000256,10.959856,60.007122,6.33
00372956+6018378,9.373167,60.310501,6.367
00404252+6025047,10.177169,60.417992,6.73
00384926+5949341,9.705287,59.826141,6.707
00392561+6006539,9.856729,60.114986,6.831
00415778+5954530,10.490758,59.914726,6.791
00400575+6001371,10.023984,60.026981,6.527
00261192+6101447,6.549671,61.029106,5.714
00263594+6047535,6.649756,60.79821,6.816
00254521+6000340,6.438378,60.009472,6.064
00282796+6017010,7.116518,60.283615,6.92
00270982+6010361,6.790957,60.176701,6.616
00270403+6011579,6.766833,60.199436,6.362
00293125+6051598,7.38024,60.866623,6.943
00292706+6049504,7.362789,60.830677,6.83
00275358+6033297,6.973291,60.558277,6.648
00295730+6040202,7.488756,60.672295,6.722
00272475+5849524,6.853144,58.831234,6.799
00245780+5857415,6.240846,58.961536,6.619
00260514+5849151,6.521419,58.820881,6.78
00295793+5920592,7.491393,59.3498,6.732
00295406+5915177,7.475254,59.254917,6.636
00291426+5928101,7.309429,59.469494,6.185
00253956+5948029,6.414839,59.800831,6.647
00300599+6009042,7.524981,60.151188,6.717
00295858+6012431,7.494106,60.211975,6.536
00340009+5953211,8.500376,59.889214,6.432
00340901+5953574,8.537578,59.899303,6.953
00325748+6022029,8.239537,60.367496,6.582
00343007+6006336,8.625298,60.109341,6.845
00301991+5958393,7.582998,59.977592,5.77
00033082+6138596,0.878428,61.649914,6.108
00005324+6134560,0.221859,61.582245,6.985
00044144+6100514,1.172678,61.014294,6.199
00041083+6055223,1.045157,60.922886,6.488
00003274+6054118,0.13644,60.90329,6.573
00013667+6104232,0.402823,61.073132,6.801
00012161+6050212,0.340054,60.839233,6.941
00085993+6128048,2.249747,61.468002,6.57
00011635+6116581,0.318154,61.282833,6.881
00025908+6122054,0.746188,61.368183,5.527
00050614+6118503,1.275601,61.313984,5.848
00062213+6008575,1.592219,60.149311,6.949
00071116+5958167,1.796514,59.971317,5.805
00074178+6006217,1.924123,60.10603,6.636
00043634+6018179,1.151458,60.304977,6.299
00015526+6017375,0.480288,60.29377,6.638
00021239+5957551,0.551655,59.965321,6.855
00020457+5956242,0.519056,59.940067,6.167
00024493+5957358,0.687246,59.959957,6.993
00021680+5958074,0.570023,59.968746,6.949
00190631+6056026,4.776331,60.934063,6.477
00214427+6104034,5.434475,61.067638,6.433
00130000+6107416,3.25003,61.128246,5.821
00134669+6019077,3.444582,60.318806,6.795
00140662+6043133,3.527603,60.720383,5.937
00180459+6109226,4.519159,61.156281,6.514
00120073+6129338,3.003069,61.492729,6.931
00044033+6022011,1.168069,60.366978,6.361
00050614+6048286,1.275619,60.807961,6.856
00082199+6036419,2.091657,60.611656,6.646
00104157+6048217,2.673209,60.806042,6.134
00223420+6035567,5.642507,60.599094,5.757
00235919+6051022,5.996665,60.85062,6.032
00160856+6022288,4.035672,60.374683,6.79
00231786+6014082,5.824448,60.235634,6.983
00231799+6020018,5.824984,60.333858,6.476
00192140+6005333,4.839202,60.09259,5.975
00204759+6003394,5.198313,60.060963,6.778
00190051+6020070,4.752128,60.335293,6.285
00012119+5906517,0.338314,59.114376,6.892
00014748+5902159,0.447843,59.037762,6.937
00101845+5849501,2.576898,58.830593,6.765
00105770+5953389,2.740442,59.894157,6.962
00112362+5954327,2.848419,59.9091,6.985
00103465+5940244,2.644387,59.673466,6.583
00065079+5918561,1.711633,59.315605,6.462
00212557+5913550,5.356574,59.231972,6.705
00214558+5914551,5.43992,59.248642,6.55
00191874+5908203,4.828091,59.138988,6.9
00200623+5900261,5.025994,59.007259,6.953
00125744+5856135,3.239353,58.937084,6.083
00153069+5909430,3.877899,59.161953,5.852
19464130+1911444,296.672105,19.195671,6.23
19464500+1857103,296.687524,18.952862,6.431
20055499+1814399,301.479152,18.244417,5.674
20012405+1927505,300.350224,19.464054,6.06
20013571+1905155,300.398799,19.087645,6.578
20024701+1914353,300.695903,19.243143,6.868
20014265+1841307,300.427744,18.691874,6.25
15143431-4553421,228.64296,-45.895035,6.995
15165497-4612084,229.229058,-46.202347,5.546
15160951-4606085,229.039635,-46.102367,6.631
15141740-4613162,228.57254,-46.221169,6.532
15121326-4620381,228.055286,-46.343937,5.97
15015326-4700268,225.471939,-47.00745,6.419
14584771-4701333,224.698816,-47.02594,6.794
15001771-4546458,225.073824,-45.779392,5.88
15040921-4613180,226.038411,-46.22168,6.909
14541947-4550389,223.581153,-45.844166,6.943
14553982-4617392,223.915956,-46.294247,6.401
14581404-4608486,224.558529,-46.146858,6.575
14570305-4607044,224.262746,-46.117912,6.315
14594983-4609363,224.957638,-46.160091,6.701
15113779-4354417,227.907494,-43.911594,6.535
15025090-4424268,225.712116,-44.407467,6.869
15041005-4415291,226.041906,-44.258102,6.587
15061156-4532598,226.548193,-45.549953,6.234
15034978-4455464,225.957426,-44.929577,6.939
15055918-4500145,226.496587,-45.004036,6.217
15054586-4459193,226.441092,-44.988701,6.931
15081506-4444279,227.062784,-44.741104,5.948
15072109-4447211,226.837886,-44.789207,6.598
15072929-4420287,226.872078,-44.341331,6.66
15053769-4435105,226.407043,-44.586269,6.468
14482573-4400205,222.107209,-44.005707,6.932
14492639-4354545,222.359968,-43.915154,5.712
14500225-4428300,222.509411,-44.475018,6.395
14531995-4530133,223.333166,-45.503716,6.658
14521551-4455377,223.064648,-44.927158,6.18
14575136-4406332,224.464005,-44.109249,6.322
14583012-4409057,224.625514,-44.1516,6.829
14572877-4423508,224.369889,-44.397457,6.899
14562481-4442152,224.103406,-44.704227,6.63
14553744-4448199,223.906018,-44.80555,6.787
14541264-4413171,223.552675,-44.221439,6.932
14591806-4409486,224.825269,-44.163502,6.921
14592941-4446033,224.872575,-44.767605,6.616
14584009-4447401,224.667053,-44.794491,6.846
15015318-4434530,225.471597,-44.581406,6.664
14563974-4457434,224.165594,-44.962067,6.976
15033977-4534307,225.915731,-45.575211,6.47
14591859-4526348,224.827488,-45.443016,6.107
15011710-4457517,225.321284,-44.964378,6.461
14594293-4458346,224.928914,-44.976295,6.343
16122509-2444212,243.10457,-24.739244,6.525
16113004-2445226,242.875195,-24.756287,6.686
16112956-2428165,242.873208,-24.471251,6.056
16050443-2424253,241.268487,-24.407045,6.732
16061902-2433080,241.579289,-24.552227,6.537
16060331-2420120,241.51382,-24.336672,6.685
16062687-2449319,241.611969,-24.825546,6.974
16075188-2427443,241.966208,-24.462309,6.379
16101288-2522007,242.553697,-25.366882,6.469
16095176-2508410,242.465695,-25.144735,6.837
16100987-2434567,242.541149,-24.582439,6.542
16095395-2443395,242.474827,-24.727652,6.718
15583487-2449531,239.645294,-24.831442,5.585
16024113-2526266,240.671416,-25.440725,6.278
15583665-2528560,239.652735,-25.482233,6.907
16000851-2533077,240.035498,-25.552141,6.708
16071675-2613231,241.819792,-26.22311,6.229
16031342-2620303,240.805931,-26.341755,6.955
16051140-2625317,241.297518,-26.425491,6.677
16034412-2625023,240.933864,-26.417313,6.842
16031613-2643013,240.817226,-26.717049,5.984
16053322-2630257,241.388433,-26.507166,6.89
16050136-2656519,241.2557,-26.947769,5.737
16050858-2701193,241.285781,-27.022053,6.438
16072473-2656484,241.853053,-26.946779,6.989
16074980-2657451,241.957503,-26.96253,6.684
16092560-2545545,242.356698,-25.765141,6.266
16081701-2537118,242.070912,-25.619963,6.144
16044728-2517220,241.197027,-25.289469,6.533
16034395-2457201,240.933161,-24.955591,6.851
16062574-2456112,241.607285,-24.936466,6.309
16042652-2543149,241.110511,-25.720821,6.435
15393589-2521450,234.899559,-25.362507,6.446
15430241-2513213,235.760079,-25.222597,6.471
